Hash,AuthorDate,CommiterDate,AuthorEmail,AuthorName,CommiterEmail,CommiterName,Message,ChangeType,ParentCommit,AddedLinesInCommit,RemovedLinesInCommit,AddedLinesInContext,RemovedLinesInContext,Repo,RepoName,FileId,FileExt,PostId,PostTypeId,SOUrl
07ccf1409d0188b497ff84771be6589d881fa3a8,2016-04-20 12:25:47+07:00,2016-04-20 12:25:47+07:00,17921,17921,17921,17921,"Bảng tin lịch tuần VMU

Bảng tin lịch tuần VMU",ModificationType.ADD,,152,0,152,0,HTeamCoder/LichtuanVMU,LichtuanVMU,9c8c6c684938b524802b4e8dfe4cb4dcdf07493e,.js,6969486,2,https://stackoverflow.com/a/6969486
a0a054f44eb64d79d4a86855f6c85609fcc02ea4,2015-02-07 10:45:13-08:00,2015-02-07 10:45:13-08:00,17922,17922,17922,17922,initial scaffold,ModificationType.ADD,,4140,0,4140,0,HRack-a-ton/5Hours,5Hours,6ec7702823f7944803dfbaa6fc1bf14a0d0a89da,.js,398120,2,https://stackoverflow.com/a/398120
b4d92d6a3410579e5fa1ba736b8616375bbc973a,2015-04-01 14:55:52+02:00,2015-04-01 14:55:52+02:00,17923,17923,17923,17923,"add presentation directory, reveal.js",ModificationType.ADD,,393,0,393,0,hsr-ba-fs15-dat/ba-doc,ba-doc,9afee065f86101b6802db47d1a9d171df30dcde5,.js,5690269,1,https://stackoverflow.com/q/5690269
21462672f55a5b4f0b0a2a1de1a211ef40d0e6ee,2016-09-18 16:19:18-04:00,2016-09-18 16:19:18-04:00,17924,17924,37,37,"Homework 1 Part 1.

Solving Sol 295. 
Wall Drawing #295 (1976)

Six white geometric figures (outlines) superimposed on a black wall.

Two versions. One uses rect(), the other uses quad(). Both use a for() loop, something we haven't covered yet.",ModificationType.ADD,,2145,0,2145,0,housellama/TugBrice-CreativeCoding,TugBrice-CreativeCoding,77bdcc197bb13226405cbe5fa6450902e8defeca,.js,34197653,1,https://stackoverflow.com/q/34197653
b35719e4265a1db4ae95ab8be0fa0cde136b361d,2015-08-21 23:49:41+08:00,2015-08-21 23:49:41+08:00,8636,8636,8636,8636,Leanote-IOS init commit (life),ModificationType.ADD,,47,0,47,0,hsjcom/leanote-ios,leanote-ios,9c4ba99f22b3c11dde442a769eb18b5bc976c09f,.js,10080969,2,https://stackoverflow.com/a/10080969
79bc40d05afe7df65202282828ff6f12c0c7f634,2015-05-15 15:32:51+00:00,2015-05-15 15:32:51+00:00,10662,10662,10662,10662,Update the JS SDK to 3.1.0,ModificationType.ADD,,1787,0,1787,0,HostedSolutions/platform-friends-hybrid,platform-friends-hybrid,c312032ffe9b446a1c721e21fcc1fb27d482bc28,.js,16459606,2,https://stackoverflow.com/a/16459606
79bc40d05afe7df65202282828ff6f12c0c7f634,2015-05-15 15:32:51+00:00,2015-05-15 15:32:51+00:00,10662,10662,10662,10662,Update the JS SDK to 3.1.0,ModificationType.MODIFY,,22795,6305,22795,6305,HostedSolutions/platform-friends-hybrid,platform-friends-hybrid,12e9f3ba80843601bdac141a22973f38723e0265,.js,16459606,2,https://stackoverflow.com/a/16459606
a64f54950cecb5ada2b81614c31d1bff29113763,2017-09-15 05:41:04+02:00,2017-09-15 05:41:04+02:00,17925,17925,17925,17925,Upload Source,ModificationType.ADD,,3075,0,3075,0,holytortoise/abwreservierung,abwreservierung,07d188317893b98eb067d66a98d482c2ae81fe5a,.js,4275077,1,https://stackoverflow.com/q/4275077
f89c610cef1956df8b33f91277229385eb9bf642,2017-09-15 10:13:05+02:00,2017-09-15 10:13:05+02:00,17926,17926,17926,17926,Delete src content,ModificationType.DELETE,a64f54950cecb5ada2b81614c31d1bff29113763,0,3073,0,3075,holytortoise/abwreservierung,abwreservierung,07d188317893b98eb067d66a98d482c2ae81fe5a,.js,4275077,1,https://stackoverflow.com/q/4275077
5542ea4faf1572bb5fb2726af0ede235b4bc86ca,2016-05-08 23:23:46-07:00,2016-05-08 23:23:46-07:00,17927,17927,17927,17927,No Story,ModificationType.ADD,,4,0,4,0,hrandp/comNWCPE,comNWCPE,c1c8ba7e160598fa4f535e4dc913f9f2f7bfdbe7,.js,13216903,1,https://stackoverflow.com/q/13216903
87191be44e66e768c8501ac105d5dda6ff8f8e6f,2016-06-12 10:17:09+02:00,2016-06-12 10:17:09+02:00,17928,17928,17928,17928,DashViz built on top of MEAN.JS,ModificationType.ADD,,448,0,448,0,hseifeddine/dashviz-mean,dashviz-mean,5e4618cb5c44b67fcbf4ffafe40eda5231431a0c,.js,1068308,2,https://stackoverflow.com/a/1068308
137003883f9b563119344e04b976f21b9c90111e,2016-06-12 13:14:12+02:00,2016-06-12 13:14:12+02:00,17928,17928,17928,17928,removing node and bower modules,ModificationType.DELETE,87191be44e66e768c8501ac105d5dda6ff8f8e6f,0,448,0,448,hseifeddine/dashviz-mean,dashviz-mean,5e4618cb5c44b67fcbf4ffafe40eda5231431a0c,.js,1068308,2,https://stackoverflow.com/a/1068308
