Hash,AuthorDate,CommiterDate,AuthorEmail,AuthorName,CommiterEmail,CommiterName,Message,ChangeType,ParentCommit,AddedLinesInCommit,RemovedLinesInCommit,AddedLinesInContext,RemovedLinesInContext,Repo,RepoName,FileId,FileExt,PostId,PostTypeId,SOUrl
1cce388e1e504edba8c2e2fb5daa3fea2f9da0a2,2014-07-29 12:06:58-03:00,2014-07-29 12:06:58-03:00,18039,18039,18039,18039,"added copy for support button, closes #5865",ModificationType.ADD,,1881,0,1881,0,hwillson/woocommerce,woocommerce,a8f1a1e7f219be587d231be3cefb0bf31e5e71ce,.js,12866060,1,https://stackoverflow.com/q/12866060
814b79ade4f3cb5a26c70a07b01b8c4ff0b17f3a,2017-10-06 17:00:24+01:00,2017-10-06 17:00:24+01:00,18040,18040,18040,18040,photosphere viewer,ModificationType.ADD,,6559,0,6559,0,hwhiskard/hwhiskard.github.io,hwhiskard.github.io,f343598b38f1c8761ce815bed14639e678ff78e7,.js,27078401,2,https://stackoverflow.com/a/27078401
83725a4b035f2f2af24e8cfeef4eef3a75baaeed,2017-10-19 10:41:56+01:00,2017-10-19 10:41:56+01:00,18040,18040,18040,18040,testing awe,ModificationType.DELETE,814b79ade4f3cb5a26c70a07b01b8c4ff0b17f3a,0,6559,0,6559,hwhiskard/hwhiskard.github.io,hwhiskard.github.io,f343598b38f1c8761ce815bed14639e678ff78e7,.js,27078401,2,https://stackoverflow.com/a/27078401
43ca944e2081991ae0efac02d8d77ec43ef0cc19,2016-03-07 12:56:21+08:00,2016-03-07 12:56:21+08:00,18041,18041,18041,18041,"Version 1.0

Based Version",ModificationType.ADD,,93,0,93,0,hung101/kbs,kbs,b5de9bc108702c49e62911af9b30b67110ee3426,.js,18391400,2,https://stackoverflow.com/a/18391400
53fc65065a35c4818f2a92b90bc842fda5b07394,2016-03-07 15:36:36+08:00,2016-03-07 15:36:36+08:00,18041,18041,18041,18041,"Revert ""Version 1.0""

This reverts commit 43ca944e2081991ae0efac02d8d77ec43ef0cc19.",ModificationType.DELETE,43ca944e2081991ae0efac02d8d77ec43ef0cc19,0,93,0,93,hung101/kbs,kbs,b5de9bc108702c49e62911af9b30b67110ee3426,.js,18391400,2,https://stackoverflow.com/a/18391400
8bf0af84e0bc23b7a4fdda9ed65c1911d7c5e96b,2016-05-31 23:42:15+08:00,2016-05-31 23:42:15+08:00,18041,18041,18041,18041,Dashboard & MSN Changes,ModificationType.ADD,,3043,0,3043,0,hung101/kbs,kbs,c635ec0b356079d988d10ecba7db39ad4559dd97,.js,181348,1,https://stackoverflow.com/q/181348
fd567af867ab62648a5a0950ed89aad4861f67e2,2016-07-08 23:08:01+08:00,2016-07-08 23:08:01+08:00,18041,18041,18041,18041,Update Security,ModificationType.MODIFY,8bf0af84e0bc23b7a4fdda9ed65c1911d7c5e96b,2433,2365,2192,2365,hung101/kbs,kbs,c635ec0b356079d988d10ecba7db39ad4559dd97,.js,181348,1,https://stackoverflow.com/q/181348
8bf0af84e0bc23b7a4fdda9ed65c1911d7c5e96b,2016-05-31 23:42:15+08:00,2016-05-31 23:42:15+08:00,18041,18041,18041,18041,Dashboard & MSN Changes,ModificationType.ADD,,1576,0,1576,0,hung101/kbs,kbs,3a0e464e74157042547a4f9f8f786d1ee7efa796,.js,10454518,1,https://stackoverflow.com/q/10454518
fe2dfc8266198b99544da5e97a07b373890aa22f,2015-03-31 14:58:01-07:00,2015-05-05 10:09:01-07:00,1674,1674,1674,1674,"Tests, docstrings, private functions, whitespace",ModificationType.MODIFY,,180,88,180,88,I--P/scipy,scipy,ce50dead78d4bdf7216ae8c6aa8cf13417206585,.py,4947453,2,https://stackoverflow.com/a/4947453
643551d0d5918d9a81a67472e4a22540a8719687,2015-04-04 11:25:26-07:00,2015-05-05 10:09:01-07:00,1674,1674,1674,1674,"Integer division fixes, style fixes",ModificationType.MODIFY,fe2dfc8266198b99544da5e97a07b373890aa22f,16,19,2,2,I--P/scipy,scipy,ce50dead78d4bdf7216ae8c6aa8cf13417206585,.py,4947453,2,https://stackoverflow.com/a/4947453
