Hash,AuthorDate,CommiterDate,AuthorEmail,AuthorName,CommiterEmail,CommiterName,Message,ChangeType,ParentCommit,AddedLinesInCommit,RemovedLinesInCommit,AddedLinesInContext,RemovedLinesInContext,Repo,RepoName,FileId,FileExt,PostId,PostTypeId,SOUrl
095c2817bad332d846cc581ccf27e1a0e997f3cf,2013-11-11 00:38:54+02:00,2013-11-11 00:38:54+02:00,17087,17087,17087,17087,Begin commit,ModificationType.ADD,,3577,0,3577,0,Gotik88/DRBlog,DRBlog,61c2a0e22df037ed7ed2cf9dc277655d16d43fbc,.js,5908494,1,https://stackoverflow.com/q/5908494
72ec00b0e4beb1a7d86fcebb934943fc836677cd,2017-10-11 13:16:14+07:00,2017-10-11 13:16:14+07:00,17088,17088,17088,17088,Added project sources,ModificationType.ADD,,238,0,238,0,grazerjink/PhatHanhSach,PhatHanhSach,3287232f51e93dd5b7bca7459277546a20f91974,.js,3922139,1,https://stackoverflow.com/q/3922139
a492ef04a41592acad8e7c86c330ea379f89a093,2013-08-14 12:12:23-03:00,2013-08-14 12:12:23-03:00,17089,17089,17089,17089,First commit.,ModificationType.ADD,,132,0,132,0,GPrimola/AlbumCoverNotes,AlbumCoverNotes,608b6dfa73164c0324119bf2d55eb637232d67b3,.java,2169649,1,https://stackoverflow.com/q/2169649
b2d3531601a79a0e9d78d35cd03f7a6e9f8a6352,2015-04-01 04:48:23-04:00,2015-04-01 04:48:23-04:00,17090,17090,17090,17090,Using unminified lib files. Closed #37,ModificationType.ADD,,1065,0,1065,0,GrdMe/GrdMe,GrdMe,328b56ea61130ef02b830f196baf8c13aa57b51b,.js,4285627,1,https://stackoverflow.com/q/4285627
aca1fe978b9e96b61e3bf697142727ede052b8f3,2015-08-12 10:15:43-07:00,2015-08-12 10:15:43-07:00,17090,17090,17090,17090,structural changes based on AMO feedback,ModificationType.MODIFY,b2d3531601a79a0e9d78d35cd03f7a6e9f8a6352,7,3,6,3,GrdMe/GrdMe,GrdMe,328b56ea61130ef02b830f196baf8c13aa57b51b,.js,4285627,1,https://stackoverflow.com/q/4285627
a7d3b5180cc9b45ae82be72c73fd6aa805d79e6e,2015-09-06 15:52:27-07:00,2015-09-06 15:52:27-07:00,17090,17090,17090,17090,Refactor code and build env,ModificationType.RENAME,aca1fe978b9e96b61e3bf697142727ede052b8f3,6,9,5,9,GrdMe/GrdMe,GrdMe,328b56ea61130ef02b830f196baf8c13aa57b51b,.js,4285627,1,https://stackoverflow.com/q/4285627
2d622385b589c2f944d687c697725f815c12e104,2015-09-06 19:16:41-07:00,2015-09-06 19:16:41-07:00,17090,17090,17090,17090,made mousetrap safer,ModificationType.MODIFY,a7d3b5180cc9b45ae82be72c73fd6aa805d79e6e,6,2,6,2,GrdMe/GrdMe,GrdMe,328b56ea61130ef02b830f196baf8c13aa57b51b,.js,4285627,1,https://stackoverflow.com/q/4285627
67d9e19ccf14936d1a9cd882f37465b66d34ee12,2016-10-11 19:50:38-07:00,2016-10-11 21:27:06-07:00,4633,4633,4633,4633,views: Split views/auth.py out of core views file.,ModificationType.ADD,,397,0,397,0,grave-w-grave/zulip,zulip,0a1da0ee7f2d0b50e68adaab2d473e0e3b94a73f,.py,5605354,2,https://stackoverflow.com/a/5605354
b5816bf99e19d4ee73b7846e162e6ceccb53cd40,2016-10-23 03:50:32+05:18,2016-10-25 13:52:13-07:00,6367,6367,4633,4633,Don't use zulipdev.com when subdomain support is disabled.,ModificationType.MODIFY,67d9e19ccf14936d1a9cd882f37465b66d34ee12,2,2,2,2,grave-w-grave/zulip,zulip,0a1da0ee7f2d0b50e68adaab2d473e0e3b94a73f,.py,5605354,2,https://stackoverflow.com/a/5605354
7b9d1a78244aa52082691c46cc8b810f15337b35,2016-10-25 13:55:11-07:00,2016-10-25 13:55:17-07:00,4633,4633,4633,4633,"auth: Simplify REALMS_HAVE_SUBDOMAINS redirect code.

This logic was just a duplicate on realm.uri, except that in the case
that subdomains are disabled, it preserves the host in the request.",ModificationType.MODIFY,b5816bf99e19d4ee73b7846e162e6ceccb53cd40,3,10,3,10,grave-w-grave/zulip,zulip,0a1da0ee7f2d0b50e68adaab2d473e0e3b94a73f,.py,5605354,2,https://stackoverflow.com/a/5605354
52acdd28bd4656ec8c45818d659129ad7daf95a9,2016-10-24 14:12:45+05:00,2016-10-26 14:40:56-07:00,6368,6368,4633,4633,"Fix JWT code in the auth backend.

For some reason, we use 'load' function but it doesn't exist in the JWT
library code. This commit updates the code to use the correct interface
of the JWT library.

The signature verification is done by the decode function.",ModificationType.MODIFY,7b9d1a78244aa52082691c46cc8b810f15337b35,15,14,9,14,grave-w-grave/zulip,zulip,0a1da0ee7f2d0b50e68adaab2d473e0e3b94a73f,.py,5605354,2,https://stackoverflow.com/a/5605354
26646abe8cbcfc25e430887cc1d55bac51cc8795,2016-10-14 17:12:16+05:00,2016-10-28 11:04:08-07:00,6368,6368,4633,4633,"Authenticate subdomains using single Google OAuth entry.

Previously, we used to create one Google OAuth callback url entry
per subdomain. This commit allows us to authenticate subdomain users
against a single Google OAuth callback url entry.",ModificationType.MODIFY,52acdd28bd4656ec8c45818d659129ad7daf95a9,74,14,31,14,grave-w-grave/zulip,zulip,0a1da0ee7f2d0b50e68adaab2d473e0e3b94a73f,.py,5605354,2,https://stackoverflow.com/a/5605354
64bcd71d6eefdfd3ba434735f849eb2a8bf14598,2016-10-26 12:13:43-04:00,2016-11-02 22:46:34-07:00,4634,4634,4633,4633,"models.Realm: Rename subdomain to string_id.

Does a database migration to rename Realm.subdomain to
Realm.string_id, and makes Realm.subdomain a property.  Eventually,
Realm.string_id will replace Realm.domain as the handle by which we
retrieve Realm objects.",ModificationType.MODIFY,26646abe8cbcfc25e430887cc1d55bac51cc8795,2,2,1,1,grave-w-grave/zulip,zulip,0a1da0ee7f2d0b50e68adaab2d473e0e3b94a73f,.py,5605354,2,https://stackoverflow.com/a/5605354
1e91b946d9d26c4db35ea516151969840a6ec10c,2016-11-07 15:16:40+05:00,2016-11-10 16:20:03+05:00,6368,6368,6368,6368,"Django 1.10: Sign google oauth requests using csrf token.

In Django 1.10, the get_token function returns a salted version of
csrf token which changes whenever get_token is called. This gives
us wrong result when we compare the state after returning from
Google authentication servers. The solution is to unsalt the token
and use that token to find the HMAC so that we get the same value
as long as t he token is same.",ModificationType.MODIFY,64bcd71d6eefdfd3ba434735f849eb2a8bf14598,9,1,9,1,grave-w-grave/zulip,zulip,0a1da0ee7f2d0b50e68adaab2d473e0e3b94a73f,.py,5605354,2,https://stackoverflow.com/a/5605354
