Hash,AuthorDate,CommiterDate,AuthorEmail,AuthorName,CommiterEmail,CommiterName,Message,ChangeType,ParentCommit,AddedLinesInCommit,RemovedLinesInCommit,AddedLinesInContext,RemovedLinesInContext,Repo,RepoName,FileId,FileExt,PostId,PostTypeId,SOUrl
94187ae062fd5badf50fd84886c1e79ca1ecf417,2014-05-31 13:41:33-07:00,2014-09-23 01:10:09-07:00,3120,3120,3120,3120,Added files for new Video Privacy Enhancer Pelican plugin.,ModificationType.ADD,,19,0,19,0,pestrickland/pelican-plugins,pelican-plugins,3fab23d336aadf267b8b29f28bf903a8cf99b350,.js,6547906,2,https://stackoverflow.com/a/6547906
642062d4cac2fe64ee2923c74de1d290b6f11720,2015-07-18 14:00:53-07:00,2015-07-19 00:02:47-07:00,3120,3120,3120,3120,"Updated plugin to enhance privacy with video embeds.

This plugin is a conceptual replication of the Electronic Frontier
Foundation's MyTube plugin, which pre-caches thumbnails of embedded
YouTube videos so that users are not tracked by Google until they
explicitly ""opt-in"" by clicking on the thumbnail (at which point the
thumbnail is replaced by the video embed iframe).

The plugin now supports both YouTube and Vimeo, and is now easier to extend for other video services.",ModificationType.MODIFY,94187ae062fd5badf50fd84886c1e79ca1ecf417,24,4,8,4,pestrickland/pelican-plugins,pelican-plugins,3fab23d336aadf267b8b29f28bf903a8cf99b350,.js,6547906,2,https://stackoverflow.com/a/6547906
dee006e6c3e4ce398690c6ea87cc693bab691724,2014-02-17 12:14:54+01:00,2014-02-17 12:14:54+01:00,3121,3121,3121,3121,Close ui-select when clicking outside,ModificationType.MODIFY,,15,5,15,5,PeterDaveHello/ui-select,ui-select,4fe9b10e81412492bb4bbe7d382916b27d0eb706,.js,12931369,1,https://stackoverflow.com/q/12931369
0ef2606a366ddba8fac9b3d80f7c2a46ecb7debf,2014-02-21 15:50:07-08:00,2014-02-21 15:50:07-08:00,3122,3122,3122,3122,Merged everything into $select,ModificationType.MODIFY,dee006e6c3e4ce398690c6ea87cc693bab691724,27,28,1,2,PeterDaveHello/ui-select,ui-select,4fe9b10e81412492bb4bbe7d382916b27d0eb706,.js,12931369,1,https://stackoverflow.com/q/12931369
88fb28858aaa04143dc7ff074b7d1f37595b4313,2014-03-25 15:05:07+01:00,2014-03-25 15:05:07+01:00,3121,3121,3121,3121,Update dist,ModificationType.MODIFY,0ef2606a366ddba8fac9b3d80f7c2a46ecb7debf,259,125,4,6,PeterDaveHello/ui-select,ui-select,4fe9b10e81412492bb4bbe7d382916b27d0eb706,.js,12931369,1,https://stackoverflow.com/q/12931369
560042cc9005e5f2c2889a3c7e64ea3ea0b80c88,2014-04-01 15:19:49+02:00,2014-04-01 15:19:49+02:00,3121,3121,3121,3121,New version 0.2.0,ModificationType.MODIFY,88fb28858aaa04143dc7ff074b7d1f37595b4313,182,100,1,1,PeterDaveHello/ui-select,ui-select,4fe9b10e81412492bb4bbe7d382916b27d0eb706,.js,12931369,1,https://stackoverflow.com/q/12931369
c6c5f2a3a9ffe4dc434bd5ac043cb756054b8f6f,2014-05-06 15:01:24-07:00,2014-05-06 15:01:24-07:00,3123,3123,3123,3123,"Update dist with latest from src

Dist has become out of sync with src, whis is erroring:
```js
ReferenceError: uiSelectMinErr is not defined
```",ModificationType.MODIFY,560042cc9005e5f2c2889a3c7e64ea3ea0b80c88,15,15,1,2,PeterDaveHello/ui-select,ui-select,4fe9b10e81412492bb4bbe7d382916b27d0eb706,.js,12931369,1,https://stackoverflow.com/q/12931369
468b3be9118337c50159e27d7e8bcb924a95ecb5,2014-07-12 11:28:23-05:00,2014-07-12 11:28:23-05:00,3124,3124,3124,3124,chore(build): v0.4.0,ModificationType.MODIFY,c6c5f2a3a9ffe4dc434bd5ac043cb756054b8f6f,566,510,7,10,PeterDaveHello/ui-select,ui-select,4fe9b10e81412492bb4bbe7d382916b27d0eb706,.js,12931369,1,https://stackoverflow.com/q/12931369
e14d0240e9c2737741246f8a72ba85449f81c7ac,2014-07-29 23:48:44-05:00,2014-07-29 23:48:44-05:00,3124,3124,3124,3124,chore(build): v0.5.0,ModificationType.MODIFY,468b3be9118337c50159e27d7e8bcb924a95ecb5,72,48,1,1,PeterDaveHello/ui-select,ui-select,4fe9b10e81412492bb4bbe7d382916b27d0eb706,.js,12931369,1,https://stackoverflow.com/q/12931369
4540d3a07b21290a43c1a7e170df9796f07e9f18,2015-10-03 23:01:38+08:00,2015-10-03 23:17:47+08:00,2712,2712,2712,2712,add zeroclipboard,ModificationType.ADD,,2581,0,2581,0,PeterDaveHello/baiducdnstatic,baiducdnstatic,83af199937592f374488b580f69aa5e585cf2cef,.js,12866060,1,https://stackoverflow.com/q/12866060
