Hash,AuthorDate,CommiterDate,AuthorEmail,AuthorName,CommiterEmail,CommiterName,Message,ChangeType,ParentCommit,AddedLinesInCommit,RemovedLinesInCommit,AddedLinesInContext,RemovedLinesInContext,Repo,RepoName,FileId,FileExt,PostId,PostTypeId,SOUrl
767ff18587b36af3de14301acba9e728f55c91e7,2016-12-10 00:54:36+05:18,2016-12-10 00:54:36+05:18,19365,19365,19365,19365,Added test for Basic Usage,ModificationType.ADD,,522,0,522,0,JigneshSatam/checkbox_select_all,checkbox_select_all,2ad1356722ea799c47993eb51d1116d6d2f644d1,.js,22747272,2,https://stackoverflow.com/a/22747272
76e9b4ad22f40c1a23f107119f3a723321756d82,2017-09-07 19:41:11+05:18,2017-09-07 19:41:11+05:18,19366,19366,19366,19366,Changed node modules,ModificationType.DELETE,767ff18587b36af3de14301acba9e728f55c91e7,0,522,0,522,JigneshSatam/checkbox_select_all,checkbox_select_all,2ad1356722ea799c47993eb51d1116d6d2f644d1,.js,22747272,2,https://stackoverflow.com/a/22747272
b759e215e954cfa1ee3c261b96788673368f087a,2015-05-01 22:47:34-04:00,2015-05-01 22:47:34-04:00,19367,19367,19367,19367,first commit,ModificationType.ADD,,70,0,70,0,jloyolask8/UnlockSpacesApp,UnlockSpacesApp,83ac3838c49ee940595e0a33aa2d95a9060719fd,.js,14693052,1,https://stackoverflow.com/q/14693052
b759e215e954cfa1ee3c261b96788673368f087a,2015-05-01 22:47:34-04:00,2015-05-01 22:47:34-04:00,19367,19367,19367,19367,first commit,ModificationType.ADD,,276,0,276,0,jloyolask8/UnlockSpacesApp,UnlockSpacesApp,61cf86b0128b8b7ce2582569feeb8017af5212fd,.js,9270488,1,https://stackoverflow.com/q/9270488
b759e215e954cfa1ee3c261b96788673368f087a,2015-05-01 22:47:34-04:00,2015-05-01 22:47:34-04:00,19367,19367,19367,19367,first commit,ModificationType.ADD,,26116,0,26116,0,jloyolask8/UnlockSpacesApp,UnlockSpacesApp,e488352b2f5262f454214cbf8e336d11f7874f5f,.js,3143070,1,https://stackoverflow.com/q/3143070
9c9e5043223297abfabf8f7bec752f77173f3fde,2015-05-12 04:26:14-03:00,2015-05-12 04:26:14-03:00,19368,19368,19368,19368,components version update,ModificationType.MODIFY,b759e215e954cfa1ee3c261b96788673368f087a,289,96,97,96,jloyolask8/UnlockSpacesApp,UnlockSpacesApp,e488352b2f5262f454214cbf8e336d11f7874f5f,.js,3143070,1,https://stackoverflow.com/q/3143070
203d19b2cb3789c7526246894daaccde7c7bba93,2016-08-08 14:22:22-05:00,2016-08-08 14:22:22-05:00,12170,12170,12170,12170,"moodle2_source

moodle2_source",ModificationType.ADD,,28364,0,28364,0,jmangelc93/Moodle,Moodle,f7442c0b031cc8afab578e779f9adda096d7eb47,.js,472729,2,https://stackoverflow.com/a/472729
6139d01ed1b31f7c95b1d3555a741d2b6053e6d9,2016-01-02 18:11:14-08:00,2016-01-02 18:11:14-08:00,19369,19369,19369,19369,"Adds introdemo

Adds code from introdemo project",ModificationType.ADD,,1263,0,1263,0,jmangel/jmangel.github.io,jmangel.github.io,817739bd171ceeb72e8f2b455e15aa959c23684c,.js,5864467,1,https://stackoverflow.com/q/5864467
83e0c10e1809c9765534afd7bbbcf6704f11ebb6,2016-01-02 18:42:50-08:00,2016-01-02 18:42:50-08:00,19369,19369,19369,19369,"deletes files from introdemo

temporarily, to readd fuller edition",ModificationType.DELETE,6139d01ed1b31f7c95b1d3555a741d2b6053e6d9,0,1263,0,1263,jmangel/jmangel.github.io,jmangel.github.io,817739bd171ceeb72e8f2b455e15aa959c23684c,.js,5864467,1,https://stackoverflow.com/q/5864467
f37d0e60e87771995f5d3b5fdec80c71f1b0c3e8,2017-03-05 17:55:16-03:00,2017-03-05 17:55:16-03:00,19370,19370,19370,19370,node_modules,ModificationType.ADD,,50,0,50,0,jibadano/71mb4,71mb4,08be0d2cb8c905063bc45d2b9cfe6571290adb19,.py,13436167,2,https://stackoverflow.com/a/13436167
